Alcohol,Flavonoids,Rating,,,,,,,,,,,,,,,,,,
14.23,3.06,A,,,,,,,,,,,,,,,,,,
13.2,2.76,A,,,,,,,,,,,,,,,,,,
13.16,3.24,A,,,,,,,,,,,,,,,,,,
14.37,3.49,A,,,,,,,,,,,,,,,,,,
13.24,2.69,A,,,,,,,,,,,,,,,,,,
14.2,3.39,A,,,,,,,,,,,,,,,,,,
14.39,2.52,A,,,,,,,,,,,,,,,,,,
14.06,2.51,A,,,,,,,,,,,,,,,,,,
14.83,2.98,A,,,,,,,,,,,,,,,,,,
13.86,3.15,A,,,,,,,,,,,,,,,,,,
14.1,3.32,A,,,,,,,,,,,,,,,,,,
14.12,2.43,A,,,,,,,,,,,,,,,,,,
13.75,2.76,A,,,,,,,,,,,,,,,,,,
14.75,3.69,A,,,,,,,,,,,,,,,,,,
14.38,3.64,A,,,,,,,,,,,,,,,,,,
13.63,2.91,A,,,,,,,,,,,,,,,,,,
14.3,3.14,A,,,,,,,,,,,,,,,,,,
13.83,3.4,A,,,,,,,,,,,,,,,,,,
14.19,3.93,A,,,,,,,,,,,,,,,,,,
13.64,3.03,A,,,,,,,,,,,,,,,,,,
14.06,3.17,A,,,,,,,,,,,,,,,,,,
12.93,2.41,A,,,,,,,,,,,,,,,,,,
13.71,2.88,A,,,,,,,,,,,,,,,,,,
12.85,2.37,A,,,,,,,,,,,,,,,,,,
13.5,2.61,A,,,,,,,,,,,,,,,,,,
13.05,2.68,A,,,,,,,,,,,,,,,,,,
13.39,2.94,A,,,,,,,,,,,,,,,,,,
13.3,2.19,A,,,,,,,,,,,,,,,,,,
13.87,2.97,A,,,,,,,,,,,,,,,,,,
14.02,2.33,A,,,,,,,,,,,,,,,,,,
13.73,3.25,A,,,,,,,,,,,,,,,,,,
13.58,3.19,A,,,,,,,,,,,,,,,,,,
13.68,2.69,A,,,,,,,,,,,,,,,,,,
13.76,2.74,A,,,,,,,,,,,,,,,,,,
13.51,2.53,A,,,,,,,,,,,,,,,,,,
13.48,2.98,A,,,,,,,,,,,,,,,,,,
13.28,2.68,A,,,,,,,,,,,,,,,,,,
13.05,2.43,A,,,,,,,,,,,,,,,,,,
13.07,2.64,A,,,,,,,,,,,,,,,,,,
